airport_name,Reason,num_cancel
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","National Air System",6
"Amarillo, TX: Rick Husband Amarillo International",Carrier,6
"Beaumont/Port Arthur, TX: Jack Brooks Regional",Carrier,6
"Chattanooga, TN: Lovell Field",Carrier,6
"Fargo, ND: Hector International","National Air System",6
"Fort Wayne, IN: Fort Wayne International",Weather,6
"Grand Rapids, MI: Gerald R. Ford International","National Air System",6
"Lafayette, LA: Lafayette Regional Paul Fournet Field",Weather,6
"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",Weather,6
"Long Beach, CA: Long Beach Airport",Carrier,6
"Mission/McAllen/Edinburg, TX: McAllen Miller International",Weather,6
"Moline, IL: Quad City International",Weather,6
"Muskegon, MI: Muskegon County",Weather,6
"San Juan, PR: Luis Munoz Marin International",Carrier,6
"Traverse City, MI: Cherry Capital","National Air System",6
"Waco, TX: Waco Regional",Weather,6
"Akron, OH: Akron-Canton Regional","National Air System",5
"Arcata/Eureka, CA: California Redwood Coast Humboldt County",Carrier,5
"Carlsbad, CA: McClellan-Palomar",Carrier,5
"Chico, CA: Chico Municipal",Weather,5
"Eau Claire, WI: Chippewa Valley Regional",Weather,5
"Eugene, OR: Mahlon Sweet Field",Carrier,5
"Fort Myers, FL: Southwest Florida International",Carrier,5
"Hibbing, MN: Range Regional",Carrier,5
"Kotzebue, AK: Ralph Wien Memorial",Weather,5
"Laredo, TX: Laredo International",Weather,5
"Lincoln, NE: Lincoln Airport",Carrier,5
"Manchester, NH: Manchester-Boston Regional","National Air System",5
"Manchester, NH: Manchester-Boston Regional",Carrier,5
"Mobile, AL: Mobile Regional",Weather,5
"Modesto, CA: Modesto City-County-Harry Sham Field",Weather,5
"Portland, ME: Portland International Jetport",Carrier,5
"Providence, RI: Theodore Francis Green State",Carrier,5
"Providence, RI: Theodore Francis Green State","National Air System",5
"Rochester, MN: Rochester International",Weather,5
"Saginaw/Bay City/Midland, MI: MBS International",Weather,5
"Texarkana, AR: Texarkana Regional-Webb Field",Weather,5
"Tucson, AZ: Tucson International",Carrier,5
"Tyler, TX: Tyler Pounds Regional",Weather,5
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Weather,5
"Albany, NY: Albany International",Carrier,4
"Alexandria, LA: Alexandria International",Weather,4
"Asheville, NC: Asheville Regional",Carrier,4
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,4
"Augusta, GA: Augusta Regional at Bush Field",Carrier,4
"Bend/Redmond, OR: Roberts Field",Carrier,4
"Birmingham, AL: Birmingham-Shuttlesworth International","National Air System",4
"Burlington, VT: Burlington International","National Air System",4
"Crescent City, CA: Jack McNamara Field",Weather,4
"Evansville, IN: Evansville Regional",Weather,4
"Flagstaff, AZ: Flagstaff Pulliam",Carrier,4
"Fort Smith, AR: Fort Smith Regional",Weather,4
"Grand Forks, ND: Grand Forks International",Carrier,4
"Hancock/Houghton, MI: Houghton County Memorial",Weather,4
"Huntsville, AL: Huntsville International-Carl T Jones Field",Weather,4
"Monroe, LA: Monroe Regional",Weather,4
"Monroe, LA: Monroe Regional",Carrier,4
"Myrtle Beach, SC: Myrtle Beach International",Carrier,4
"Paducah, KY: Barkley Regional",Weather,4
"Reno, NV: Reno/Tahoe International",Carrier,4
"San Angelo, TX: San Angelo Regional/Mathis Field",Weather,4
"San Luis Obispo, CA: San Luis County Regional",Carrier,4
"San Luis Obispo, CA: San Luis County Regional","National Air System",4
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","National Air System",4
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",Weather,4
"Anchorage, AK: Ted Stevens Anchorage International",Carrier,3
"Bismarck/Mandan, ND: Bismarck Municipal",Weather,3
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Weather,3
"Boise, ID: Boise Air Terminal",Carrier,3
"Bristol/Johnson City/Kingsport, TN: Tri Cities",Carrier,3
"Casper, WY: Casper/Natrona County International",Carrier,3
"Champaign/Urbana, IL: University of Illinois/Willard","National Air System",3
"Joplin, MO: Joplin Regional",Weather,3
"Nome, AK: Nome Airport",Weather,3
"Pasco/Kennewick/Richland, WA: Tri Cities",Carrier,3
"Roswell, NM: Roswell International Air Center",Weather,3
"West Palm Beach/Palm Beach, FL: Palm Beach International",Carrier,3
"Yuma, AZ: Yuma MCAS/Yuma International",Carrier,3
"Bakersfield, CA: Meadows Field",Carrier,2
"Barrow, AK: Wiley Post/Will Rogers Memorial",Weather,2
"Butte, MT: Bert Mooney",Weather,2
"Charleston/Dunbar, WV: Yeager",Weather,2
