DayofMonth,avg_num_flights_over_preceding_3D
0,0
1,9089
2,12271
3,13874
4,17515.5
5,17385.25
6,17374.5
7,17215
8,18120.25
9,18360.75
10,18378.25
11,17457.75
12,17244.25
13,17242.25
14,17095.25
15,18058.75
16,18406.25
17,18432.25
18,17570.75
19,17437
20,17418.25
21,17276.75
22,18200.25
23,18466.5
24,18503.25
25,17463
26,16384.25
27,16085.25
28,16018
29,17091.5
30,18265.25
31,18566.25
